,id,name,beginYear,endYear,description,countries
0,0012c7c7-484a-413e-9e6f-efd86b7f9c9f,1940 Event 7,1940,1940,May 26: Girl Scouts of the Philippines is founded.,[]
1,00470c09-ea84-4658-a28f-a9782614cd42,1919 Event 10,1919,1919,July 18: End of Polish–Ukrainian War.,[]
2,00498c43-3f31-4448-94c7-5beb2df0b80e,1981 Event 13,1981,1981,"July 29: Wedding of Charles, Prince of Wales, and Lady Diana Spencer.",[]
3,004e3829-5e5f-4a3c-81e0-acd7953731db,1955 Event 4,1955,1955,"April 12: The Salk polio vaccine having passed large-scale trials earlier in the United States, receives full approval by the Food and Drug Administration.",[]
4,004e9df8-f2cd-4eb5-b61b-87cd98dd78f6,1610 Event 1,1610,1610,"1610: The VOC appoints Pieter Both as its first Governor-General to enable firmer control of their affairs in Asia.&#91;1&#93; Previously all business had (in theory) required the approval of the Heeren XVII, a group of seventeen shareholders in Amsterdam.",[]
5,00984841-29fd-42e3-9473-5de2f1295a66,1964 Event 6,1964,1964,July 4: Rhodesian Bush War begins.,[]
6,0098ea6c-a519-4d17-a7fb-9934b2a6d77b,1494 Event 1,1494,1494,1494: Spain and Portugal sign the Treaty of Tordesillas and agree to divide the World outside of Europe between themselves.,[]
7,00b0bff7-91fb-4bcc-9444-058ea0c852ae,1942 Event 6,1942,1942,August,[]
8,00c495dd-0a51-4d40-bd01-f72063e02176,1580 Event 1,1580,1580,1577–1580: Francis Drake circles the world.,[]
9,0125dba1-a574-4f69-a4e1-03b614282ebe,1478 Event 1,1478,1478,1478: Muscovy conquers Novgorod.,[]
10,0152e4cc-e1f4-4171-a7d1-52a34d842522,2007 Event 3,2007,2007,"January 25: A civil war escalated in the Gaza Strip throughout June, which resulted in Hamas eventually driving most Fatah-loyal forces from the Strip. In reaction, Palestinian president Mahmoud Abbas dismissed Hamas prime minister Ismail Haniyeh and dissolved the Hamas-ruled parliament.",[]
11,0190408e-936f-4454-bc7c-ebdbe1923eb0,1585 Event 1,1585,1585,"1584–1585: After the siege of Antwerp, many of its merchants flee to Amsterdam. According to Luc-Normand Tellier, ""At its peak, between 1510 and 1557, Antwerp concentrated about 40% of the world trade...It is estimated that the port of Antwerp was earning the Spanish crown seven times more revenues than the Americas.""&#91;16&#93;",[]
12,01930dd9-36ae-461d-b97c-0ece725a45fa,1974 Event 13,1974,1974,World population reaches four billion.,[]
13,0194fc7e-b166-428e-a131-fd69a32a622a,1923 Event 1,1923,1923,March 3: Time Magazine is first published.,[]
14,01c6d880-70ab-4a33-8012-49fd3994806e,1966 Event 8,1966,1966,"October 21: The Aberfan disaster, the catastrophic collapse of a colliery spoil tip (pile of waste coal mining material) in Aberfan, Wales results in 144 deaths.",[]
15,01e62804-ec0c-42ff-a739-4ce50fe5a6c2,1904 Event 6,1904,1904,Roger Casement publishes his account of Belgian atrocities in the Congo Free State.,[]
